sim_rmse,sim_r,participant,alpha
0.077340542,0.677993142,19bq6,0.001045931
0.082553743,0.619992882,19bq6,0.000248338
0.079463968,0.655408318,19bq6,0.000626624
0.084005172,0.602150001,19bq6,0.000636674
0.080039466,0.649103984,19bq6,0.000738415
0.072213162,0.727266873,19bq6,0.001138626
0.080432519,0.644654125,19bq6,0.000163625
0.076612876,0.685402488,19bq6,0.00180444
0.075659447,0.694888511,19bq6,0.009690684
0.079830199,0.651379443,19bq6,0.001647183
0.079283425,0.657449102,19bq6,0.001667385
0.085581731,0.581666734,19bq6,8.48E-06
0.085663396,0.580579721,19bq6,2.61E-06
0.081142699,0.636580049,19bq6,0.000781323
0.0877261,0.552061564,19bq6,0.000152754
0.07660007,0.685517619,19bq6,0.001400443
0.083034304,0.614553336,19bq6,0.012276203
0.081780501,0.629224692,19bq6,0.000825588
0.085536092,0.582273234,19bq6,7.31E-06
0.081077029,0.637305855,19bq6,0.000128733
0.077831139,0.672875496,19bq6,0.00392438
0.10277925,0.213802719,19bq6,0
0.078900636,0.661635159,19bq6,0.00130993
0.077912531,0.672020362,19bq6,0.002675328
0.080286457,0.646416094,19bq6,0.000927943
0.079863314,0.651017022,19bq6,0.000678767
0.082089429,0.625540955,19bq6,0.000632284
0.081041152,0.637726032,19bq6,0.000419461
0.080228486,0.646950281,19bq6,0.001707808
0.076042955,0.691122566,19bq6,0.003375837
0.079402632,0.656144754,19bq6,0.001024201
0.076075177,0.690778057,19bq6,0.001519657
0.08287088,0.61621303,19bq6,0.001751137
0.080723446,0.641356565,19bq6,0.001642836
0.081442215,0.633196482,19bq6,0.00088235
0.082411011,0.621689462,19bq6,0.001380959
0.081183864,0.636120997,19bq6,0.000131642
0.080058628,0.648903865,19bq6,0.000550499
0.079325031,0.656935018,19bq6,0.00139142
0.083618409,0.606977129,19bq6,0.000836478
0.073652764,0.714112998,19bq6,0.00197166
0.092794006,0.471291964,19bq6,0.06114341
0.076013937,0.691383274,19bq6,0.001475621
0.075463534,0.696822872,19bq6,0.000409428
0.077700352,0.674245826,19bq6,0.000109839
0.080240325,0.646803058,19bq6,0.000862653
0.08198815,0.626697753,19bq6,0.044417483
0.080594662,0.642826169,19bq6,0.000887785
0.085186869,0.58687965,19bq6,2.54E-05
0.080492569,0.643964977,19bq6,0.00011915
0.079814518,0.651551326,19bq6,0.001853753
0.077859426,0.672577738,19bq6,0.012115458
0.078060114,0.67047468,19bq6,0.00177107
0.077890548,0.672249817,19bq6,0.000778091
0.079077923,0.659647575,19bq6,0.001459138
0.076895032,0.682537864,19bq6,0.000431155
0.080497377,0.643962299,19bq6,0.001261922
0.091908634,0.486711956,19bq6,0.017513444
0.075982238,0.691698271,19bq6,0.002336451
0.086213765,0.573307933,19bq6,0.0083962
0.080118974,0.648210733,19bq6,0.000673771
0.080873403,0.639768989,19bq6,0.000575669
0.081244387,0.63538156,19bq6,0.0001307
0.079150234,0.65887022,19bq6,0.00478286
0.083513294,0.608224905,19bq6,0.001380804
0.081378439,0.633829073,19bq6,0.00384442
0.080068709,0.648732675,19bq6,0.00305485
0.090341457,0.512540371,19bq6,0.0006393
0.081935701,0.627383463,19bq6,0.000494152
0.102778474,0.213804562,19bq6,1.93E-19
0.079322843,0.656953068,19bq6,0.000332595
0.080043607,0.649071882,19bq6,0.000721191
0.075024881,0.701123816,19bq6,0.001983629
0.082431738,0.621516719,19bq6,0.00049375
0.080386229,0.645272863,19bq6,0.00050448
0.081434054,0.633203085,19bq6,0.001422727
0.08228708,0.623138749,19bq6,0.001567371
0.082495065,0.620680995,19bq6,0.000969167
0.08280662,0.61695559,19bq6,0.000992714
0.080146488,0.647857301,19bq6,7.35E-05
0.08093931,0.639016722,19bq6,0.000722572
0.085588818,0.58157554,19bq6,0.016131679
0.080434364,0.644639376,19bq6,0.000527305
0.076099284,0.690534292,19bq6,0.001558041
0.109205106,0.58243047,1z0ca,0.002841392
0.116718779,0.495155548,1z0ca,0.003669504
0.117924355,0.479095786,1z0ca,1.64E-05
0.105141597,0.622474545,1z0ca,0.002098661
0.124828222,0.369629572,1z0ca,2.71E-19
0.113761066,0.531933701,1z0ca,0.008131837
0.108193774,0.592786681,1z0ca,0.005060262
0.124098821,0.382992808,1z0ca,0.000281328
0.112431189,0.547354026,1z0ca,0.032873263
