sim_rmse,sim_r,participant,alpha
0.22331983666208932,0.5934464987923099,0xmq6,0.00022550075902063395
0.22259893105743378,0.5971724621407504,0xmq6,0.002025308381047168
0.22960631395915002,0.5614362465697862,0xmq6,7.127050205283036e-06
0.24063730890124496,0.4978154119550313,0xmq6,5.3325427780551555e-06
0.2349537035243339,0.5319051565045002,0xmq6,0.0013569288084233483
0.2722311471286002,0.19322179170917977,0xmq6,0.0007902764867743493
0.27222773785276044,0.1932764176196117,0xmq6,0.0
0.2722287321826804,0.1932629985873144,0xmq6,4.921420534412878e-19
0.2405875040482367,0.49813554502339347,0xmq6,4.176911726195323e-06
0.24060781614902788,0.4979973139087622,0xmq6,5.393201069373415e-06
0.24061077575087983,0.4981744003457205,0xmq6,2.02753843337065e-06
0.2406365328638727,0.49782803302026635,0xmq6,4.608359718069656e-06
0.2413880946906287,0.4930621583322598,0xmq6,7.050750354896561e-05
0.24056354122568688,0.49826885149046424,0xmq6,7.754570043575755e-05
0.24054437031902273,0.4983912388432033,0xmq6,1.1799376990780896e-05
0.23626485119248003,0.524307025136937,0xmq6,0.0008304712196691307
0.2328635276620637,0.5437137714875561,0xmq6,0.00039580467685588133
0.23649412960871483,0.5229627211519733,0xmq6,0.0006080681862031088
0.23335637432115788,0.5409640055167145,0xmq6,0.0012772771720228086
0.2322760914498826,0.5470316288000419,0xmq6,0.0012768342633658425
0.2257792394773419,0.5812348341988942,0xmq6,0.0014020664829675978
0.23328881325448142,0.5413405101601999,0xmq6,0.0007845355316645549
0.2722276747515537,0.19327686463629953,0xmq6,1.6501210195204624e-06
0.2361521479178788,0.5249657992486084,0xmq6,0.0010397148497910708
0.24107761638943312,0.4950363737647089,0xmq6,1.4176474341842581e-05
0.27222809608117,0.19327642931381775,0xmq6,3.049318610115481e-20
0.23735228645904652,0.5178886945117505,0xmq6,0.0002909960238080973
0.24059287842749083,0.49810555389609,0xmq6,1.4431367213760908e-06
0.22855123101223496,0.5669881495183836,0xmq6,3.9585991531364685e-05
0.2405537961757043,0.4983385384091348,0xmq6,0.0003708779679035911
0.24068319361172402,0.4975181329566668,0xmq6,3.5998791703503054e-06
0.23865403830037393,0.5100582858806006,0xmq6,0.0006037849848456719
0.239788415745745,0.5030991472517093,0xmq6,0.00015002695945949123
0.2722305685854034,0.19322441978032717,0xmq6,5.103041587927366e-19
0.23929161015862505,0.5061625482728977,0xmq6,0.00029759804525060106
0.24008030356422172,0.5012873896095704,0xmq6,0.00017014300328851363
