,subj,rating,zScored_ratings,rt,raw_image_name,sliderStart,trial,block,image,pair,sourceImageA,sourceImageB,morphPercent,imageInd
4744,0le1c,0.382,1.0325459857275692,26.659000000059606,images/experiment/pair_101_57_out_tensor(0.6667).png,46.0,5,1,101_57_0.67,101_57_,101,57,0.67,48
10344,0le1c,0.32,0.7563255565025742,66.575,images/experiment/101_start.png,394.0,6,1,101,101,101,,,6
5144,0le1c,0.146,-0.018873712612734315,23.0129999999702,images/experiment/pair_64_57_out_tensor(0.6667).png,96.0,7,1,64_57_0.67,64_57_,64,57,0.67,39
9144,0le1c,0.194,0.19497436162597145,31.9710000000149,images/experiment/pair_5_92_out_tensor(0.5000).png,124.0,8,1,5_92_0.5,5_92_,5,92,0.5,14
1144,0le1c,0.058,-0.4109285153836949,28.4520000000298,images/experiment/pair_5_101_out_tensor(0.3333).png,47.0,9,1,5_101_0.33,5_101_,5,101,0.33,16
6144,0le1c,0.146,-0.018873712612734315,23.793000000044703,images/experiment/pair_37_92_out_tensor(0.5000).png,495.0,10,1,37_92_0.5,37_92_,37,92,0.5,29
1944,0le1c,0.088,-0.2772734689845038,30.1689999999851,images/experiment/pair_101_92_out_tensor(0.6667).png,9.0,11,1,101_92_0.67,101_92_,101,92,0.67,54
544,0le1c,0.028,-0.544583561782886,26.455,images/experiment/pair_37_57_out_tensor(0.3333).png,28.0,12,1,37_57_0.33,37_57_,37,57,0.33,22
3544,0le1c,0.68,2.360186113292867,37.7139999999851,images/experiment/pair_5_41_out_tensor(0.3333).png,243.0,13,1,5_41_0.33,5_41_,5,41,0.33,7
9344,0le1c,0.086,-0.28618380541111654,33.832999999970205,images/experiment/pair_37_64_out_tensor(0.6667).png,496.0,14,1,37_64_0.67,37_64_,37,64,0.67,27
8344,0le1c,0.088,-0.2772734689845038,25.8110000000149,images/experiment/57_start.png,350.0,15,1,57,57,57,,,3
5944,0le1c,0.106,-0.19708044114498913,26.595,images/experiment/pair_64_57_out_tensor(0.5000).png,296.0,16,1,64_57_0.5,64_57_,64,57,0.5,38
4344,0le1c,0.11,-0.17925976829176365,45.9519999999553,images/experiment/pair_92_64_out_tensor(0.3333).png,276.0,17,1,92_64_0.33,92_64_,92,64,0.33,43
3344,0le1c,0.118,-0.14361842258531268,39.27,images/experiment/41_start.png,292.0,18,1,41,41,41,,,2
6744,0le1c,0.076,-0.33073548754418025,26.6729999999702,images/experiment/pair_37_101_out_tensor(0.6667).png,397.0,19,1,37_101_0.67,37_101_,37,101,0.67,33
3144,0le1c,0.04,-0.49112154322320956,29.5560000000149,images/experiment/pair_5_41_out_tensor(0.6667).png,156.0,20,1,5_41_0.67,5_41_,5,41,0.67,9
5744,0le1c,0.074,-0.33964582397079296,20.43,images/experiment/pair_92_57_out_tensor(0.6667).png,398.0,21,1,92_57_0.67,92_57_,92,57,0.67,42
944,0le1c,0.07,-0.35746649682401843,28.0139999999851,images/experiment/pair_92_64_out_tensor(0.5000).png,76.0,22,1,92_64_0.5,92_64_,92,64,0.5,44
8744,0le1c,0.098,-0.2327217868514401,22.315,images/experiment/pair_37_41_out_tensor(0.6667).png,255.0,23,1,37_41_0.67,37_41_,37,41,0.67,21
8944,0le1c,0.068,-0.3663768332506312,23.622000000029796,images/experiment/37_start.png,372.0,24,1,37,37,37,,,1
5344,0le1c,0.034,-0.5178525525030477,25.192000000029797,images/experiment/pair_37_101_out_tensor(0.3333).png,383.0,25,1,37_101_0.33,37_101_,37,101,0.33,31
10144,0le1c,0.088,-0.2772734689845038,20.045,images/experiment/pair_92_57_out_tensor(0.3333).png,283.0,26,1,92_57_0.33,92_57_,92,57,0.33,40
144,0le1c,0.056,-0.4198388518103076,24.433000000044704,images/experiment/64_start.png,344.0,27,1,64,64,64,,,4
4544,0le1c,0.1,-0.22381145042482734,16.858000000044704,images/experiment/pair_5_101_out_tensor(0.5000).png,308.0,28,1,5_101_0.5,5_101_,5,101,0.5,17
2344,0le1c,0.112,-0.1703494318651509,20.687999999970202,images/experiment/pair_5_64_out_tensor(0.5000).png,312.0,29,1,5_64_0.5,5_64_,5,64,0.5,11
2144,0le1c,0.104,-0.20599077757160186,20.374000000059606,images/experiment/pair_92_64_out_tensor(0.6667).png,396.0,30,1,92_64_0.67,92_64_,92,64,0.67,45
8544,0le1c,0.092,-0.2594527961312783,24.335,images/experiment/pair_101_92_out_tensor(0.5000).png,478.0,31,1,101_92_0.5,101_92_,101,92,0.5,53
3944,0le1c,0.116,-0.15252875901192542,26.9010000000149,images/experiment/pair_92_57_out_tensor(0.5000).png,197.0,32,1,92_57_0.5,92_57_,92,57,0.5,41
1344,0le1c,0.082,-0.304004478264342,27.288000000044704,images/experiment/pair_5_64_out_tensor(0.3333).png,360.0,33,1,5_64_0.33,5_64_,5,64,0.33,10
4944,0le1c,0.074,-0.33964582397079296,32.0320000000298,images/experiment/pair_101_64_out_tensor(0.5000).png,446.0,34,1,101_64_0.5,101_64_,101,64,0.5,50
6344,0le1c,0.08,-0.3129148146909547,21.3929999999702,images/experiment/pair_37_41_out_tensor(0.5000).png,60.0,35,1,37_41_0.5,37_41_,37,41,0.5,20
9744,0le1c,0.07,-0.35746649682401843,23.7139999999851,images/experiment/pair_101_92_out_tensor(0.3333).png,325.0,36,1,101_92_0.33,101_92_,101,92,0.33,52
7544,0le1c,0.104,-0.20599077757160186,22.151999999955297,images/experiment/pair_37_57_out_tensor(0.5000).png,238.0,37,1,37_57_0.5,37_57_,37,57,0.5,23
6544,0le1c,0.0,-0.6693282717554644,91.1,images/experiment/pair_64_41_out_tensor(0.5000).png,159.0,38,1,64_41_0.5,64_41_,64,41,0.5,35
344,0le1c,0.0,-0.6693282717554644,39.4939999999851,images/experiment/pair_64_41_out_tensor(0.3333).png,319.0,39,1,64_41_0.33,64_41_,64,41,0.33,34
2544,0le1c,0.28,0.5781188279703193,25.808999999985097,images/experiment/pair_101_57_out_tensor(0.3333).png,427.0,40,1,101_57_0.33,101_57_,101,57,0.33,46
7944,0le1c,0.606,2.030503665508196,23.958000000044702,images/experiment/pair_5_41_out_tensor(0.5000).png,316.0,41,1,5_41_0.5,5_41_,5,41,0.5,8
9944,0le1c,0.0,-0.6693282717554644,21.305,images/experiment/pair_5_64_out_tensor(0.6667).png,85.0,42,1,5_64_0.67,5_64_,5,64,0.67,12
4144,0le1c,0.0,-0.6693282717554644,25.733999999985098,images/experiment/pair_101_64_out_tensor(0.6667).png,260.0,43,1,101_64_0.67,101_64_,101,64,0.67,51
2944,0le1c,0.0,-0.6693282717554644,23.415,images/experiment/pair_64_57_out_tensor(0.3333).png,4.0,44,1,64_57_0.33,64_57_,64,57,0.33,37
5544,0le1c,0.052,-0.43765952466353314,47.11300000004471,images/experiment/pair_5_92_out_tensor(0.6667).png,304.0,45,1,5_92_0.67,5_92_,5,92,0.67,15
6944,0le1c,0.094,-0.25054245970466554,24.405,images/experiment/pair_101_64_out_tensor(0.3333).png,223.0,46,1,101_64_0.33,101_64_,101,64,0.33,49
7144,0le1c,0.062,-0.39310784253046943,32.755,images/experiment/92_start.png,452.0,47,1,92,92,92,,,5
2744,0le1c,0.052,-0.43765952466353314,37.638000000044705,images/experiment/pair_37_64_out_tensor(0.5000).png,475.0,48,1,37_64_0.5,37_64_,37,64,0.5,26
8144,0le1c,0.038,-0.5000318796498223,27.4460000000149,images/experiment/pair_37_101_out_tensor(0.5000).png,219.0,49,1,37_101_0.5,37_101_,37,101,0.5,32
3744,0le1c,0.0,-0.6693282717554644,31.571999999955295,images/experiment/pair_64_41_out_tensor(0.6667).png,472.0,50,1,64_41_0.67,64_41_,64,41,0.67,36
9544,0le1c,0.05,-0.44656986109014585,32.7340000000596,images/experiment/pair_37_92_out_tensor(0.6667).png,324.0,51,1,37_92_0.67,37_92_,37,92,0.67,30
7344,0le1c,0.296,0.6494015193832212,28.773000000044703,images/experiment/pair_5_101_out_tensor(0.6667).png,228.0,52,1,5_101_0.67,5_101_,5,101,0.67,18
10744,0le1c,0.08,-0.3129148146909547,32.95099999994039,images/experiment/pair_37_92_out_tensor(0.3333).png,400.0,53,1,37_92_0.33,37_92_,37,92,0.33,28
10544,0le1c,0.07,-0.35746649682401843,24.2760000000149,images/experiment/pair_37_41_out_tensor(0.3333).png,407.0,54,1,37_41_0.33,37_41_,37,41,0.33,19
10944,0le1c,0.07,-0.35746649682401843,35.7729999999702,images/experiment/pair_101_57_out_tensor(0.5000).png,152.0,55,1,101_57_0.5,101_57_,101,57,0.5,47
1744,0le1c,0.04,-0.49112154322320956,34.585,images/experiment/pair_37_57_out_tensor(0.6667).png,41.0,56,1,37_57_0.67,37_57_,37,57,0.67,24
1544,0le1c,0.062,-0.39310784253046943,26.2129999999702,images/experiment/pair_37_64_out_tensor(0.3333).png,271.0,57,1,37_64_0.33,37_64_,37,64,0.33,25
7744,0le1c,1.0,3.785839941550906,32.034000000059606,images/experiment/5_start.png,323.0,58,1,5,5,5,,,0
744,0le1c,0.0,-0.6693282717554644,23.3110000000149,images/experiment/pair_5_92_out_tensor(0.3333).png,50.0,59,1,5_92_0.33,5_92_,5,92,0.33,13
1145,0le1c,0.322,0.7652358929291868,34.3679999999702,images/experiment/pair_5_101_out_tensor(0.3333).png,340.0,192,2,5_101_0.33,5_101_,5,101,0.33,16
9945,0le1c,0.0,-0.6693282717554644,25.0489999999851,images/experiment/pair_5_64_out_tensor(0.6667).png,280.0,193,2,5_64_0.67,5_64_,5,64,0.67,12
9745,0le1c,0.0,-0.6693282717554644,14.993000000044704,images/experiment/pair_101_92_out_tensor(0.3333).png,61.0,194,2,101_92_0.33,101_92_,101,92,0.33,52
1345,0le1c,0.854,3.1353853824081757,29.7139999999851,images/experiment/pair_5_64_out_tensor(0.3333).png,489.0,195,2,5_64_0.33,5_64_,5,64,0.33,10
3745,0le1c,0.04,-0.49112154322320956,23.865,images/experiment/pair_64_41_out_tensor(0.6667).png,265.0,196,2,64_41_0.67,64_41_,64,41,0.67,36
4145,0le1c,0.034,-0.5178525525030477,20.5329999999702,images/experiment/pair_101_64_out_tensor(0.6667).png,186.0,197,2,101_64_0.67,101_64_,101,64,0.67,51
9145,0le1c,0.17,0.08805032450661857,47.199000000059605,images/experiment/pair_5_92_out_tensor(0.5000).png,497.0,198,2,5_92_0.5,5_92_,5,92,0.5,14
8745,0le1c,0.052,-0.43765952466353314,22.47,images/experiment/pair_37_41_out_tensor(0.6667).png,86.0,199,2,37_41_0.67,37_41_,37,41,0.67,21
5345,0le1c,0.034,-0.5178525525030477,29.4710000000149,images/experiment/pair_37_101_out_tensor(0.3333).png,303.0,200,2,37_101_0.33,37_101_,37,101,0.33,31
6745,0le1c,0.05,-0.44656986109014585,29.012000000029797,images/experiment/pair_37_101_out_tensor(0.6667).png,108.0,201,2,37_101_0.67,37_101_,37,101,0.67,33
145,0le1c,0.058,-0.4109285153836949,34.3010000000149,images/experiment/64_start.png,451.0,202,2,64,64,64,,,4
10545,0le1c,0.046,-0.4643905339433713,27.346999999955298,images/experiment/pair_37_41_out_tensor(0.3333).png,59.0,203,2,37_41_0.33,37_41_,37,41,0.33,19
6145,0le1c,0.026,-0.5534938982094988,36.635,images/experiment/pair_37_92_out_tensor(0.5000).png,21.0,204,2,37_92_0.5,37_92_,37,92,0.5,29
545,0le1c,0.044,-0.4733008703699841,25.566999999955296,images/experiment/pair_37_57_out_tensor(0.3333).png,88.0,205,2,37_57_0.33,37_57_,37,57,0.33,22
3945,0le1c,0.04,-0.49112154322320956,28.777000000029798,images/experiment/pair_92_57_out_tensor(0.5000).png,371.0,206,2,92_57_0.5,92_57_,92,57,0.5,41
9545,0le1c,0.034,-0.5178525525030477,22.773999999985097,images/experiment/pair_37_92_out_tensor(0.6667).png,100.0,207,2,37_92_0.67,37_92_,37,92,0.67,30
7545,0le1c,0.05,-0.44656986109014585,25.265,images/experiment/pair_37_57_out_tensor(0.5000).png,189.0,208,2,37_57_0.5,37_57_,37,57,0.5,23
4345,0le1c,0.064,-0.38419750610385667,33.1370000000298,images/experiment/pair_92_64_out_tensor(0.3333).png,141.0,209,2,92_64_0.33,92_64_,92,64,0.33,43
5745,0le1c,0.082,-0.304004478264342,58.3310000000149,images/experiment/pair_92_57_out_tensor(0.6667).png,135.0,210,2,92_57_0.67,92_57_,92,57,0.67,42
4945,0le1c,0.11,-0.17925976829176365,24.630999999940396,images/experiment/pair_101_64_out_tensor(0.5000).png,301.0,211,2,101_64_0.5,101_64_,101,64,0.5,50
1945,0le1c,0.082,-0.304004478264342,37.335,images/experiment/pair_101_92_out_tensor(0.6667).png,307.0,212,2,101_92_0.67,101_92_,101,92,0.67,54
2745,0le1c,0.064,-0.38419750610385667,20.83,images/experiment/pair_37_64_out_tensor(0.5000).png,329.0,213,2,37_64_0.5,37_64_,37,64,0.5,26
10745,0le1c,0.07,-0.35746649682401843,22.016000000014902,images/experiment/pair_37_92_out_tensor(0.3333).png,422.0,214,2,37_92_0.33,37_92_,37,92,0.33,28
5945,0le1c,0.056,-0.4198388518103076,25.267000000029796,images/experiment/pair_64_57_out_tensor(0.5000).png,198.0,215,2,64_57_0.5,64_57_,64,57,0.5,38
4545,0le1c,0.798,2.885895962463019,32.4989999999851,images/experiment/pair_5_101_out_tensor(0.5000).png,20.0,216,2,5_101_0.5,5_101_,5,101,0.5,17
8145,0le1c,0.064,-0.38419750610385667,20.5260000000149,images/experiment/pair_37_101_out_tensor(0.5000).png,166.0,217,2,37_101_0.5,37_101_,37,101,0.5,32
7745,0le1c,1.0,3.785839941550906,24.115,images/experiment/5_start.png,23.0,218,2,5,5,5,,,0
8945,0le1c,0.47,1.4246007884985297,24.651999999955297,images/experiment/37_start.png,386.0,219,2,37,37,37,,,1
3545,0le1c,0.782,2.814613271050117,29.933999999985097,images/experiment/pair_5_41_out_tensor(0.3333).png,104.0,220,2,5_41_0.33,5_41_,5,41,0.33,7
5545,0le1c,0.064,-0.38419750610385667,22.6310000000149,images/experiment/pair_5_92_out_tensor(0.6667).png,266.0,221,2,5_92_0.67,5_92_,5,92,0.67,15
3345,0le1c,0.406,1.139470022846922,44.096000000014904,images/experiment/41_start.png,130.0,222,2,41,41,41,,,2
945,0le1c,0.02,-0.580224907489337,30.471999999955298,images/experiment/pair_92_64_out_tensor(0.5000).png,78.0,223,2,92_64_0.5,92_64_,92,64,0.5,44
10345,0le1c,0.008,-0.6336869260490134,30.3310000000149,images/experiment/101_start.png,149.0,224,2,101,101,101,,,6
1545,0le1c,0.026,-0.5534938982094988,149.0490000000596,images/experiment/pair_37_64_out_tensor(0.3333).png,65.0,225,2,37_64_0.33,37_64_,37,64,0.33,25
10945,0le1c,0.046,-0.4643905339433713,35.9189999999851,images/experiment/pair_101_57_out_tensor(0.5000).png,226.0,226,2,101_57_0.5,101_57_,101,57,0.5,47
8545,0le1c,0.05,-0.44656986109014585,35.2339999999851,images/experiment/pair_101_92_out_tensor(0.5000).png,412.0,227,2,101_92_0.5,101_92_,101,92,0.5,53
9345,0le1c,0.064,-0.38419750610385667,29.628999999985098,images/experiment/pair_37_64_out_tensor(0.6667).png,110.0,228,2,37_64_0.67,37_64_,37,64,0.67,27
8345,0le1c,0.404,1.1305596864203091,45.1789999999851,images/experiment/57_start.png,137.0,229,2,57,57,57,,,3
2345,0le1c,0.412,1.1662010321267602,18.1760000000149,images/experiment/pair_5_64_out_tensor(0.5000).png,127.0,230,2,5_64_0.5,5_64_,5,64,0.5,11
2545,0le1c,0.062,-0.39310784253046943,24.97,images/experiment/pair_101_57_out_tensor(0.3333).png,268.0,231,2,101_57_0.33,101_57_,101,57,0.33,46
1745,0le1c,0.04,-0.49112154322320956,30.7939999999851,images/experiment/pair_37_57_out_tensor(0.6667).png,328.0,232,2,37_57_0.67,37_57_,37,57,0.67,24
6345,0le1c,0.028,-0.544583561782886,31.7139999999851,images/experiment/pair_37_41_out_tensor(0.5000).png,258.0,233,2,37_41_0.5,37_41_,37,41,0.5,20
7145,0le1c,0.038,-0.5000318796498223,35.23,images/experiment/92_start.png,402.0,234,2,92,92,92,,,5
745,0le1c,0.942,3.5274401851791364,36.9339999999851,images/experiment/pair_5_92_out_tensor(0.3333).png,467.0,235,2,5_92_0.33,5_92_,5,92,0.33,13
10145,0le1c,0.062,-0.39310784253046943,32.2739999999851,images/experiment/pair_92_57_out_tensor(0.3333).png,401.0,236,2,92_57_0.33,92_57_,92,57,0.33,40
4745,0le1c,0.044,-0.4733008703699841,32.7510000000149,images/experiment/pair_101_57_out_tensor(0.6667).png,63.0,237,2,101_57_0.67,101_57_,101,57,0.67,48
7345,0le1c,0.038,-0.5000318796498223,26.8110000000149,images/experiment/pair_5_101_out_tensor(0.6667).png,72.0,238,2,5_101_0.67,5_101_,5,101,0.67,18
7945,0le1c,0.77,2.761151252490441,28.695,images/experiment/pair_5_41_out_tensor(0.5000).png,341.0,239,2,5_41_0.5,5_41_,5,41,0.5,8
2145,0le1c,0.07,-0.35746649682401843,62.0739999999851,images/experiment/pair_92_64_out_tensor(0.6667).png,57.0,240,2,92_64_0.67,92_64_,92,64,0.67,45
2945,0le1c,0.044,-0.4733008703699841,33.9119999999553,images/experiment/pair_64_57_out_tensor(0.3333).png,115.0,241,2,64_57_0.33,64_57_,64,57,0.33,37
6945,0le1c,0.07,-0.35746649682401843,115.5839999999851,images/experiment/pair_101_64_out_tensor(0.3333).png,498.0,242,2,101_64_0.33,101_64_,101,64,0.33,49
345,0le1c,0.05,-0.44656986109014585,25.27,images/experiment/pair_64_41_out_tensor(0.3333).png,93.0,243,2,64_41_0.33,64_41_,64,41,0.33,34
6545,0le1c,0.116,-0.15252875901192542,29.472999999970202,images/experiment/pair_64_41_out_tensor(0.5000).png,302.0,244,2,64_41_0.5,64_41_,64,41,0.5,35
3145,0le1c,0.136,-0.06342539474579802,27.915,images/experiment/pair_5_41_out_tensor(0.6667).png,278.0,245,2,5_41_0.67,5_41_,5,41,0.67,9
5145,0le1c,0.08,-0.3129148146909547,29.15,images/experiment/pair_64_57_out_tensor(0.6667).png,179.0,246,2,64_57_0.67,64_57_,64,57,0.67,39
7994,0xmq6,0.938,1.6102792440148757,35.425,images/experiment/pair_5_41_out_tensor(0.5000).png,448.0,5,1,5_41_0.5,5_41_,5,41,0.5,8
6194,0xmq6,0.478,0.012190950225350891,40.26,images/experiment/pair_37_92_out_tensor(0.5000).png,71.0,6,1,37_92_0.5,37_92_,37,92,0.5,29
3394,0xmq6,0.26,-0.7451639368314239,29.77600000023842,images/experiment/41_start.png,442.0,7,1,41,41,41,,,2
2794,0xmq6,0.488,0.04693200009034056,23.54299999952316,images/experiment/pair_37_64_out_tensor(0.5000).png,20.0,8,1,37_64_0.5,37_64_,37,64,0.5,26
7594,0xmq6,0.726,0.8737689868770947,21.23200000047684,images/experiment/pair_37_57_out_tensor(0.5000).png,117.0,9,1,37_57_0.5,37_57_,37,57,0.5,23
8994,0xmq6,0.792,1.1030599159860266,26.218999999761582,images/experiment/37_start.png,362.0,10,1,37,37,37,,,1
9594,0xmq6,0.926,1.5685899841768882,23.45100000023842,images/experiment/pair_37_92_out_tensor(0.6667).png,49.0,11,1,37_92_0.67,37_92_,37,92,0.67,30
1594,0xmq6,0.28,-0.6756818371014446,29.86,images/experiment/pair_37_64_out_tensor(0.3333).png,96.0,12,1,37_64_0.33,37_64_,37,64,0.33,25
2594,0xmq6,0.512,0.13031051976631577,23.81100000023842,images/experiment/pair_101_57_out_tensor(0.3333).png,427.0,13,1,101_57_0.33,101_57_,101,57,0.33,46
3194,0xmq6,0.872,1.3809883149059439,18.79,images/experiment/pair_5_41_out_tensor(0.6667).png,149.0,14,1,5_41_0.67,5_41_,5,41,0.67,9
594,0xmq6,0.394,-0.27963386864056233,29.57600000023842,images/experiment/pair_37_57_out_tensor(0.3333).png,64.0,15,1,37_57_0.33,37_57_,37,57,0.33,22
4394,0xmq6,0.788,1.0891634960400307,18.685,images/experiment/pair_92_64_out_tensor(0.3333).png,143.0,16,1,92_64_0.33,92_64_,92,64,0.33,43
4594,0xmq6,1.0,1.8256737531778118,23.91,images/experiment/pair_5_101_out_tensor(0.5000).png,175.0,17,1,5_101_0.5,5_101_,5,101,0.5,17
4794,0xmq6,1.0,1.8256737531778118,19.812999999523164,images/experiment/pair_101_57_out_tensor(0.6667).png,50.0,18,1,101_57_0.67,101_57_,101,57,0.67,48
2194,0xmq6,0.08,-1.370502834401238,24.395,images/experiment/pair_92_64_out_tensor(0.6667).png,480.0,19,1,92_64_0.67,92_64_,92,64,0.67,45
9394,0xmq6,0.184,-1.0091959158053454,26.371000000238418,images/experiment/pair_37_64_out_tensor(0.6667).png,57.0,20,1,37_64_0.67,37_64_,37,64,0.67,27
9794,0xmq6,0.206,-0.9327656061023681,19.41399999976158,images/experiment/pair_101_92_out_tensor(0.3333).png,194.0,21,1,101_92_0.33,101_92_,101,92,0.33,52
10194,0xmq6,0.744,0.9363028766340761,19.78099999904633,images/experiment/pair_92_57_out_tensor(0.3333).png,293.0,22,1,92_57_0.33,92_57_,92,57,0.33,40
3594,0xmq6,0.848,1.2976097952299688,23.513000000715255,images/experiment/pair_5_41_out_tensor(0.3333).png,314.0,23,1,5_41_0.33,5_41_,5,41,0.33,7
1394,0xmq6,0.956,1.672813133771857,23.026999999284744,images/experiment/pair_5_64_out_tensor(0.3333).png,205.0,24,1,5_64_0.33,5_64_,5,64,0.33,10
10594,0xmq6,0.332,-0.4950283778034983,18.541000000238416,images/experiment/pair_37_41_out_tensor(0.3333).png,320.0,25,1,37_41_0.33,37_41_,37,41,0.33,19
3994,0xmq6,0.566,0.31791218903726,44.93100000023842,images/experiment/pair_92_57_out_tensor(0.5000).png,342.0,26,1,92_57_0.5,92_57_,92,57,0.5,41
4994,0xmq6,0.268,-0.7173710969394322,18.58899999976158,images/experiment/pair_101_64_out_tensor(0.5000).png,432.0,27,1,101_64_0.5,101_64_,101,64,0.5,50
3794,0xmq6,0.374,-0.3491159683705417,25.924000000953676,images/experiment/pair_64_41_out_tensor(0.6667).png,308.0,28,1,64_41_0.67,64_41_,64,41,0.67,36
2394,0xmq6,0.112,-1.2593314748332711,19.738999999761578,images/experiment/pair_5_64_out_tensor(0.5000).png,126.0,29,1,5_64_0.5,5_64_,5,64,0.5,11
8394,0xmq6,0.296,-0.6200961573174611,21.73799999952316,images/experiment/57_start.png,88.0,30,1,57,57,57,,,3
5194,0xmq6,0.528,0.18589619955029923,24.68899999976158,images/experiment/pair_64_57_out_tensor(0.6667).png,78.0,31,1,64_57_0.67,64_57_,64,57,0.67,39
194,0xmq6,0.016,-1.592845553537172,19.113000000715257,images/experiment/64_start.png,483.0,32,1,64,64,64,,,4
7794,0xmq6,0.896,1.4643668345819192,23.545,images/experiment/5_start.png,62.0,33,1,5,5,5,,,0
8794,0xmq6,0.37,-0.36301238831653754,24.39,images/experiment/pair_37_41_out_tensor(0.6667).png,288.0,34,1,37_41_0.67,37_41_,37,41,0.67,21
1994,0xmq6,0.478,0.012190950225350891,25.593999999761582,images/experiment/pair_101_92_out_tensor(0.6667).png,141.0,35,1,101_92_0.67,101_92_,101,92,0.67,54
7394,0xmq6,0.698,0.7764940472551236,24.36399999976158,images/experiment/pair_5_101_out_tensor(0.6667).png,180.0,36,1,5_101_0.67,5_101_,5,101,0.67,18
6394,0xmq6,0.1,-1.3010207346712586,30.178000000715254,images/experiment/pair_37_41_out_tensor(0.5000).png,219.0,37,1,37_41_0.5,37_41_,37,41,0.5,20
9994,0xmq6,0.34,-0.46723553791150657,20.41399999976158,images/experiment/pair_5_64_out_tensor(0.6667).png,103.0,38,1,5_64_0.67,5_64_,5,64,0.67,12
5394,0xmq6,0.274,-0.6965264670204384,24.492000000476843,images/experiment/pair_37_101_out_tensor(0.3333).png,99.0,39,1,37_101_0.33,37_101_,37,101,0.33,31
10794,0xmq6,0.358,-0.40470164815452514,19.476000000238415,images/experiment/pair_37_92_out_tensor(0.3333).png,46.0,40,1,37_92_0.33,37_92_,37,92,0.33,28
394,0xmq6,0.356,-0.4116498581275231,22.056999999284745,images/experiment/pair_64_41_out_tensor(0.3333).png,335.0,41,1,64_41_0.33,64_41_,64,41,0.33,34
5994,0xmq6,0.5,0.08862125992832817,22.289000000953674,images/experiment/pair_64_57_out_tensor(0.5000).png,420.0,42,1,64_57_0.5,64_57_,64,57,0.5,38
9194,0xmq6,0.912,1.5199525143659025,20.05099999904633,images/experiment/pair_5_92_out_tensor(0.5000).png,326.0,43,1,5_92_0.5,5_92_,5,92,0.5,14
5594,0xmq6,0.984,1.7700880733938282,22.19399999976158,images/experiment/pair_5_92_out_tensor(0.6667).png,107.0,44,1,5_92_0.67,5_92_,5,92,0.67,15
1794,0xmq6,0.522,0.16505156963130543,18.605,images/experiment/pair_37_57_out_tensor(0.6667).png,100.0,45,1,37_57_0.67,37_57_,37,57,0.67,24
794,0xmq6,0.78,1.061370656148039,19.192999999523167,images/experiment/pair_5_92_out_tensor(0.3333).png,44.0,46,1,5_92_0.33,5_92_,5,92,0.33,13
994,0xmq6,0.316,-0.5506140575874817,22.393999999761583,images/experiment/pair_92_64_out_tensor(0.5000).png,311.0,47,1,92_64_0.5,92_64_,92,64,0.5,44
6594,0xmq6,0.636,0.5610995380921877,106.55700000047683,images/experiment/pair_64_41_out_tensor(0.5000).png,251.0,48,1,64_41_0.5,64_41_,64,41,0.5,35
10394,0xmq6,0.286,-0.6548372071824508,16.777999999523164,images/experiment/101_start.png,35.0,49,1,101,101,101,,,6
8594,0xmq6,0.644,0.5888923779841794,21.461000000238418,images/experiment/pair_101_92_out_tensor(0.5000).png,211.0,50,1,101_92_0.5,101_92_,101,92,0.5,53
10994,0xmq6,0.37,-0.36301238831653754,18.995,images/experiment/pair_101_57_out_tensor(0.5000).png,467.0,51,1,101_57_0.5,101_57_,101,57,0.5,47
1194,0xmq6,0.882,1.4157293647709335,23.74700000047684,images/experiment/pair_5_101_out_tensor(0.3333).png,409.0,52,1,5_101_0.33,5_101_,5,101,0.33,16
6794,0xmq6,0.188,-0.9952994958593495,21.94399999976158,images/experiment/pair_37_101_out_tensor(0.6667).png,173.0,53,1,37_101_0.67,37_101_,37,101,0.67,33
7194,0xmq6,0.638,0.5680477480651857,17.86,images/experiment/92_start.png,112.0,54,1,92,92,92,,,5
6994,0xmq6,0.476,0.005242740252352958,20.282999999523167,images/experiment/pair_101_64_out_tensor(0.3333).png,296.0,55,1,101_64_0.33,101_64_,101,64,0.33,49
2994,0xmq6,0.266,-0.7243193069124301,28.705,images/experiment/pair_64_57_out_tensor(0.3333).png,281.0,56,1,64_57_0.33,64_57_,64,57,0.33,37
8194,0xmq6,0.238,-0.8215942465344012,21.82,images/experiment/pair_37_101_out_tensor(0.5000).png,316.0,57,1,37_101_0.5,37_101_,37,101,0.5,32
5794,0xmq6,0.758,0.9849403464450617,20.606999999284746,images/experiment/pair_92_57_out_tensor(0.6667).png,321.0,58,1,92_57_0.67,92_57_,92,57,0.67,42
4194,0xmq6,0.256,-0.7590603567774198,23.24,images/experiment/pair_101_64_out_tensor(0.6667).png,259.0,59,1,101_64_0.67,101_64_,101,64,0.67,51
3995,0xmq6,0.644,0.5888923779841794,28.083000000715256,images/experiment/pair_92_57_out_tensor(0.5000).png,156.0,283,2,92_57_0.5,92_57_,92,57,0.5,41
1795,0xmq6,0.484,0.03303558014434469,19.44399999976158,images/experiment/pair_37_57_out_tensor(0.6667).png,408.0,284,2,37_57_0.67,37_57_,37,57,0.67,24
6995,0xmq6,0.16,-1.0925744354813207,19.261999999284743,images/experiment/pair_101_64_out_tensor(0.3333).png,197.0,285,2,101_64_0.33,101_64_,101,64,0.33,49
