,subj,rating,zScored_ratings,rt,raw_image_name,sliderStart,trial,block,image,pair,sourceImageA,sourceImageB,morphPercent,imageInd
2456,5cuw8,0.58,0.10017700368923485,23.101000000014903,images/experiment/pair_101_57_out_tensor(0.3333).png,85.0,54,1,101_57_0.33,101_57_,101,57,0.33,46
9856,5cuw8,0.404,-0.732195009797285,31.692000000029797,images/experiment/pair_5_64_out_tensor(0.6667).png,161.0,55,1,5_64_0.67,5_64_,5,64,0.67,12
4056,5cuw8,0.48,-0.37276164033719694,34.0,images/experiment/pair_101_64_out_tensor(0.6667).png,40.0,56,1,101_64_0.67,101_64_,101,64,0.67,51
9656,5cuw8,0.586,0.12855332233082076,24.245,images/experiment/pair_101_92_out_tensor(0.3333).png,165.0,57,1,101_92_0.33,101_92_,101,92,0.33,52
9256,5cuw8,0.32,-1.1294634707794877,37.25800000000745,images/experiment/pair_37_64_out_tensor(0.6667).png,427.0,58,1,37_64_0.67,37_64_,37,64,0.67,27
2656,5cuw8,0.494,-0.3065502301734965,66.99400000002235,images/experiment/pair_37_64_out_tensor(0.5000).png,379.0,59,1,37_64_0.5,37_64_,37,64,0.5,26
10657,5cuw8,0.726,0.7906674239678252,24.3189999999851,images/experiment/pair_37_92_out_tensor(0.3333).png,489.0,607,2,37_92_0.33,37_92_,37,92,0.33,28
9457,5cuw8,0.716,0.743373559565182,27.1110000000149,images/experiment/pair_37_92_out_tensor(0.6667).png,5.0,608,2,37_92_0.67,37_92_,37,92,0.67,30
8257,5cuw8,0.976,1.9730140340339046,25.4310000000149,images/experiment/57_start.png,248.0,609,2,57,57,57,,,3
7857,5cuw8,0.718,0.7528323324457107,22.30800000000745,images/experiment/pair_5_41_out_tensor(0.5000).png,172.0,610,2,5_41_0.5,5_41_,5,41,0.5,8
2057,5cuw8,0.474,-0.40113795897878285,20.89,images/experiment/pair_92_64_out_tensor(0.6667).png,130.0,611,2,92_64_0.67,92_64_,92,64,0.67,45
457,5cuw8,0.662,0.4879866917909089,36.51699999999255,images/experiment/pair_37_57_out_tensor(0.3333).png,268.0,612,2,37_57_0.33,37_57_,37,57,0.33,22
4857,5cuw8,0.36,-0.9402880131689151,20.7039999999851,images/experiment/pair_101_64_out_tensor(0.5000).png,224.0,613,2,101_64_0.5,101_64_,101,64,0.5,50
2457,5cuw8,0.556,-0.013328270877108776,21.10199999999255,images/experiment/pair_101_57_out_tensor(0.3333).png,221.0,614,2,101_57_0.33,101_57_,101,57,0.33,46
3857,5cuw8,0.328,-1.0916283792573733,21.81599999997765,images/experiment/pair_92_57_out_tensor(0.5000).png,44.0,615,2,92_57_0.5,92_57_,92,57,0.5,41
1057,5cuw8,0.454,-0.49572568778406917,39.40199999999255,images/experiment/pair_5_101_out_tensor(0.3333).png,91.0,616,2,5_101_0.33,5_101_,5,101,0.33,16
1457,5cuw8,0.562,0.01504804776447713,21.97800000000745,images/experiment/pair_37_64_out_tensor(0.3333).png,246.0,617,2,37_64_0.33,37_64_,37,64,0.33,25
2857,5cuw8,0.34,-1.0348757419742014,33.55,images/experiment/pair_64_57_out_tensor(0.3333).png,414.0,618,2,64_57_0.33,64_57_,64,57,0.33,37
10857,5cuw8,0.638,0.3744814172245653,21.43,images/experiment/pair_101_57_out_tensor(0.5000).png,198.0,619,2,101_57_0.5,101_57_,101,57,0.5,47
7657,5cuw8,0.892,1.575745573051702,28.57,images/experiment/5_start.png,419.0,620,2,5,5,5,,,0
