r_true,r_shuffled,rmse_shuffled,rmse_true,subj,alpha,w_r,w_V,r2_true,r2_shuffled,r2_diff,r_diff,rmse_diff,alpha*w_V
0.5035851916393645,0.4833504601744209,0.24038124814410364,0.2397344875394549,0xmq6,0.0005789673160317673,0.49577314530855454,0.19697747794048215,0.2535980452384555,0.23362766735082444,0.01997037788763109,0.020234731464943645,-0.000646760604648744,0.0001140435217219076
0.5007724136726005,0.4466237808780154,0.09296475540438535,0.09107987491447415,19bq6,0.0003116702769250713,0.4957740800374172,0.8521860474754462,0.2507730102954821,0.19947280164577352,0.05130020864970858,0.054148632794585094,-0.0018848804899112004,0.0002656010614083543
0.47780808086717086,0.40191217712437655,0.12262986890195698,0.11801959774468725,1z0ca,3.492996348380463e-05,0.4957732931341461,0.8564690111939246,0.2283005621419689,0.16153339812085624,0.06676716402111266,0.07589590374279431,-0.004610271157269738,2.9916431286014046e-05
0.5477146177787454,0.5024680364834797,0.2338248281297731,0.22848360611449314,37o95,1.1031726291556183e-05,0.48683110661593193,1.650364668152094,0.2999913025285172,0.2524741276875635,0.04751717484095369,0.04524658129526571,-0.0053412220152799506,1.8206371300308853e-05
0.4432939020832856,0.3094635157312204,0.23152951283808548,0.2214629361825069,3l6s4,1.427818140152806e-06,0.4957732931341461,0.906166256173423,0.19650948362422563,0.09576766756872729,0.10074181605549834,0.13383038635206523,-0.010066576655578585,1.293840618558768e-06
0.10751220627183823,0.15104416921526786,0.055675776552745804,0.05610308838670005,46vpz,0.00022159038554677397,0.20795000398530197,0.0,0.011558874497438292,0.022814341053930473,-0.011255466556492181,-0.04353196294342963,0.0004273118339542456,0.0
0.36441338286534075,0.21498248155520372,0.27211427166382507,0.26034092271312126,520tj,0.00018643512777597658,0.2852259010070086,0.029403879396378636,0.13279711361136143,0.04621746737563351,0.08657964623572792,0.14943090131013703,-0.01177334895070381,5.481916012373256e-06
0.7601759641910505,0.6943977890378846,0.17948776460425847,0.1679719191692476,6r8qk,0.0011035608934335576,0.4957810981400221,0.6122746623884532,0.5778674965337933,0.4821882894207025,0.0956792071130908,0.06577817515316586,-0.011515845435010857,0.0006756823734521312
0.34318607801311524,0.3451834493537097,0.03795935492900502,0.03799827088879541,6yaxg,1.7893588657411167e-06,0.43773788763538546,3.5738976675809426,0.11777668414202402,0.11915161370772508,-0.0013749295657010524,-0.001997371340594467,3.891595979039347e-05,6.394985476737458e-06
0.48725673956379245,0.3822154668940227,0.2112856761088081,0.2002985936011392,7df33,0.0025398136022123075,0.8604665402299948,0.14065076752907527,0.23741913025033745,0.14608866313301574,0.0913304671173217,0.10504127266976976,-0.010987082507668916,0.0003572267325319465
0.48275104305867467,0.47321324126621833,0.16204427628153537,0.1611472356202889,89w87,0.0002629284103127557,0.43840433754444186,1.1563641792771129,0.23304856957423836,0.22393077170968015,0.009117797864558214,0.009537801792456335,-0.0008970406612464621,0.00030404099539994573
0.44563030863590347,0.47231828953771005,0.19445499377176353,0.19764897743265386,8kyd7,9.862121731088133e-05,0.4957732931341461,1.129873079579682,0.1985863719749306,0.2230845666318281,-0.02449819465689751,-0.026687980901806574,0.003193983660890326,0.00011142945851494255
0.5970684849569814,0.35913085874415196,0.15799979462997393,0.14340171054544126,9gjbe,0.0001087694852831566,0.4957732931341461,0.8906437333701273,0.3564907757288251,0.12897497370231203,0.22751580202651306,0.23793762621282943,-0.01459808408453267,9.687486044933771e-05
0.5287712325753443,0.4786086195974532,0.17551226987702087,0.1704836991518384,ar5vx,0.0013380470648027107,6.8592368500193786,0.3733342056119348,0.27959901639924883,0.22906621075297967,0.05053280564626916,0.0501626129778911,-0.00502857072518248,0.0004995387380095011
0.5471584932921201,0.46133400239599337,0.08768721606361755,0.08382291329061409,chb6q,7.822994144518671e-05,0.4957732931341461,0.5063966215627925,0.299382416781703,0.2128290617667064,0.08655335501499661,0.0858244908961267,-0.003864302773003467,3.9615378052897634e-05
0.0453327024607781,0.20790254058368782,0.19755887564779046,0.20556601173476188,czgyu,0.00020725576890221335,0.8224066884004874,1.435703790220377e-16,0.0020550539123974365,0.04322346638115196,-0.04116841246875452,-0.1625698381229097,0.008007136086971428,2.9755789295794626e-20
0.7059957664033775,0.38479512003441935,0.17174854760923602,0.132859820429676,eunhf,0.00045769186970103214,10.965615940439129,21.22240051024183,0.49843002217949234,0.14806728440230318,0.3503627377771892,0.3212006463689581,-0.03888872717956002,0.009713320169076722
0.4816448947731334,0.4109898084382541,0.19488406348606652,0.18714274760759517,faow1,0.0002732642382289737,170.23954057116214,1.0124002208685947,0.23198180466102272,0.1689126226401128,0.06306918202090991,0.07065508633487927,-0.00774131587847135,0.0002766527751385013
0.6348252163865703,0.6001131246479545,0.1154882978905098,0.11103461856669349,fax28,0.0014244402502145445,0.3824531443835474,0.3505431841348703,0.4030030553602558,0.3601357623747314,0.04286729298552444,0.03471209173861578,-0.004453679323816309,0.0004993278209200778
0.4028515525440682,0.33649135681877806,0.1217921271278499,0.12023695556909807,fpt0a,0.00011583621849017221,0.4957732931341461,0.774456489110973,0.16228937338716612,0.11322643321374222,0.0490629401734239,0.06636019572529012,-0.0015551715587518306,8.971011108379034e-05
0.5957136353357216,0.4998337096420537,0.06368025659663398,0.061001558144069115,h647a,2.590652856437095e-05,0.4957732931341461,0.7691515334393882,0.35487473532490116,0.24983373729453684,0.10504099803036432,0.09587992569366793,-0.0026786984525648677,1.992604617137723e-05
